jband,k,e,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12
0,0.380,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.479,0.002,0.000
0,0.467,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.579,0.002,0.000
0,0.555,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.577,0.001,0.000
0,0.643,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.524,0.001,0.000
0,0.730,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.555,0.001,0.000
0,1.443,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.433,0.002,0.000
0,2.004,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.566,0.001,0.000
0,2.092,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.554,0.001,0.000
0,2.180,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.577,0.001,0.000
0,2.267,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.578,0.001,0.000
0,2.355,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.562,0.001,0.000
0,2.975,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.518,0.001,0.000
0,3.447,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.551,0.001,0.000
0,3.535,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.553,0.001,0.000
0,3.623,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.516,0.000,0.000
0,3.710,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.545,0.000,0.000
0,4.190,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.586,0.000,0.000
0,4.278,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.451,0.001,0.000
0,4.717,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.481,0.001,0.000
0,4.804,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.521,0.000,0.000
0,4.892,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.420,0.000,0.000
0,4.980,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.439,0.000,0.000
0,5.460,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.513,0.000,0.000
0,5.548,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.563,0.001,0.000
0,6.020,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.518,0.001,0.000
0,6.107,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.457,0.001,0.000
0,6.195,-44.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.453,0.001,0.000
