jband,k,e,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12
0,0.000,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.005,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.009,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.014,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.072,0.000
0,0.019,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.927,0.071,0.000
0,0.024,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.928,0.071,0.000
0,0.028,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.928,0.071,0.000
0,0.033,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.941,0.058,0.000
0,0.038,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,0.040,0.000
0,0.042,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,0.040,0.000
0,0.047,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.957,0.042,0.000
0,0.052,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,0.022,0.000
0,0.057,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,0.029,0.000
0,0.061,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.969,0.029,0.000
0,0.066,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.974,0.024,0.000
0,0.071,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.019,0.000
0,0.075,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.981,0.017,0.000
0,0.080,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.977,0.022,0.000
0,0.085,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.975,0.024,0.000
0,0.090,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,0.023,0.000
0,0.094,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,0.022,0.000
0,0.099,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.984,0.015,0.000
0,0.104,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.985,0.014,0.000
0,0.108,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.019,0.000
0,0.113,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.981,0.018,0.000
0,0.118,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.976,0.022,0.000
0,0.123,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.978,0.021,0.000
0,0.127,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980,0.019,0.000
0,0.132,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.975,0.023,0.000
0,0.137,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.982,0.017,0.000
0,0.141,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.984,0.015,0.000
0,0.146,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.985,0.014,0.000
0,0.151,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.982,0.017,0.000
0,0.156,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.984,0.015,0.000
0,0.160,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.992,0.007,0.000
0,0.165,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.993,0.006,0.000
0,0.170,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.994,0.005,0.000
0,0.174,-45.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.997,0.002,0.000
0,0.179,-45.315,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.997,0.001,0.000
0,0.184,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.189,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.193,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.198,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.203,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.207,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.997,0.001,0.000
0,0.212,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.217,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.222,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.226,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.231,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.236,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.240,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.245,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.250,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.001,0.000
0,0.255,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000
0,0.259,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.264,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.269,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.273,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.278,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.283,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.287,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.292,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.297,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.302,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.306,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.311,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.316,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.320,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
0,0.325,-45.316,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000
