jband,k,e
0,0.000,-44.870
0,0.005,-44.870
0,0.009,-44.870
0,0.014,-44.870
0,0.019,-44.870
0,0.024,-44.870
0,0.028,-44.870
0,0.033,-44.870
0,0.038,-44.870
0,0.042,-44.870
0,0.047,-44.870
0,0.052,-44.870
0,0.057,-44.870
0,0.061,-44.870
0,0.066,-44.870
0,0.071,-44.870
0,0.075,-44.870
0,0.080,-44.870
0,0.085,-44.870
0,0.090,-44.870
0,0.094,-44.870
0,0.099,-44.870
0,0.104,-44.870
0,0.108,-44.870
0,0.113,-44.870
0,0.118,-44.870
0,0.123,-44.870
0,0.127,-44.870
0,0.132,-44.870
0,0.137,-44.870
0,0.141,-44.870
0,0.146,-44.870
0,0.151,-44.870
0,0.156,-44.870
0,0.160,-44.870
0,0.165,-44.870
0,0.170,-44.870
0,0.174,-44.870
0,0.179,-44.870
0,0.184,-44.870
0,0.189,-44.870
0,0.193,-44.870
0,0.198,-44.870
0,0.203,-44.870
0,0.207,-44.870
0,0.212,-44.870
0,0.217,-44.870
0,0.222,-44.870
0,0.226,-44.870
0,0.231,-44.870
0,0.236,-44.870
0,0.240,-44.870
0,0.245,-44.870
0,0.250,-44.870
0,0.255,-44.870
0,0.259,-44.870
0,0.264,-44.870
0,0.269,-44.870
0,0.273,-44.870
0,0.278,-44.870
0,0.283,-44.870
0,0.287,-44.870
0,0.292,-44.870
0,0.297,-44.870
0,0.302,-44.870
0,0.306,-44.870
0,0.311,-44.870
0,0.316,-44.870
0,0.320,-44.870
0,0.325,-44.870
0,0.330,-44.870
0,0.334,-44.870
0,0.339,-44.870
0,0.344,-44.870
0,0.348,-44.870
0,0.353,-44.870
0,0.358,-44.870
0,0.362,-44.870
0,0.367,-44.870
0,0.372,-44.870
0,0.376,-44.870
0,0.381,-44.870
0,0.386,-44.870
0,0.391,-44.870
0,0.395,-44.870
0,0.400,-44.870
0,0.405,-44.870
0,0.409,-44.870
0,0.414,-44.870
0,0.419,-44.870
0,0.423,-44.870
0,0.428,-44.870
0,0.433,-44.870
0,0.437,-44.870
0,0.442,-44.870
0,0.447,-44.870
0,0.451,-44.870
0,0.456,-44.870
0,0.461,-44.870
0,0.466,-44.870
0,0.470,-44.870
0,0.475,-44.870
0,0.480,-44.870
0,0.484,-44.870
0,0.489,-44.870
0,0.493,-44.870
0,0.498,-44.870
0,0.503,-44.870
0,0.507,-44.870
0,0.512,-44.870
0,0.517,-44.870
0,0.521,-44.870
0,0.526,-44.870
0,0.530,-44.870
0,0.535,-44.870
0,0.540,-44.870
0,0.544,-44.870
0,0.549,-44.870
0,0.553,-44.870
0,0.558,-44.870
0,0.563,-44.870
0,0.567,-44.870
0,0.572,-44.870
0,0.577,-44.870
0,0.581,-44.870
0,0.586,-44.870
0,0.590,-44.870
0,0.595,-44.870
0,0.600,-44.870
0,0.604,-44.870
0,0.609,-44.870
0,0.614,-44.870
0,0.618,-44.870
0,0.623,-44.870
0,0.627,-44.870
0,0.632,-44.870
0,0.637,-44.870
0,0.641,-44.870
0,0.646,-44.870
0,0.651,-44.870
0,0.655,-44.870
0,0.660,-44.870
0,0.665,-44.870
0,0.669,-44.870
0,0.674,-44.870
0,0.679,-44.870
0,0.684,-44.870
0,0.688,-44.870
0,0.693,-44.870
0,0.698,-44.870
0,0.702,-44.870
0,0.707,-44.870
0,0.712,-44.870
0,0.716,-44.870
0,0.721,-44.870
0,0.726,-44.870
0,0.730,-44.870
0,0.735,-44.870
0,0.740,-44.870
0,0.744,-44.870
0,0.749,-44.870
0,0.754,-44.870
0,0.759,-44.870
0,0.763,-44.870
0,0.768,-44.870
0,0.773,-44.870
0,0.777,-44.870
0,0.782,-44.870
0,0.787,-44.870
0,0.791,-44.870
0,0.796,-44.870
0,0.801,-44.870
0,0.805,-44.870
0,0.810,-44.870
0,0.815,-44.870
0,0.819,-44.870
0,0.824,-44.870
0,0.829,-44.870
0,0.834,-44.870
0,0.838,-44.870
0,0.843,-44.870
0,0.848,-44.870
0,0.852,-44.870
0,0.857,-44.870
0,0.861,-44.870
0,0.866,-44.870
0,0.871,-44.870
0,0.875,-44.870
0,0.880,-44.870
0,0.885,-44.870
0,0.889,-44.870
0,0.894,-44.870
0,0.898,-44.870
0,0.903,-44.870
0,0.908,-44.870
0,0.912,-44.870
0,0.917,-44.870
0,0.921,-44.870
0,0.926,-44.870
0,0.931,-44.870
0,0.935,-44.870
0,0.940,-44.870
0,0.945,-44.870
0,0.949,-44.870
0,0.954,-44.870
0,0.958,-44.870
0,0.963,-44.870
0,0.968,-44.870
0,0.972,-44.870
0,0.977,-44.870
0,0.982,-44.870
0,0.986,-44.870
0,0.991,-44.870
0,0.995,-44.870
1,0.000,-44.870
1,0.005,-44.870
1,0.009,-44.870
1,0.014,-44.870
1,0.019,-44.870
1,0.024,-44.870
1,0.028,-44.870
1,0.033,-44.870
1,0.038,-44.870
1,0.042,-44.870
1,0.047,-44.870
1,0.052,-44.870
1,0.057,-44.870
1,0.061,-44.870
1,0.066,-44.870
1,0.071,-44.870
1,0.075,-44.870
1,0.080,-44.870
1,0.085,-44.870
1,0.090,-44.870
1,0.094,-44.870
1,0.099,-44.870
1,0.104,-44.870
1,0.108,-44.870
1,0.113,-44.870
1,0.118,-44.870
1,0.123,-44.870
1,0.127,-44.870
1,0.132,-44.870
1,0.137,-44.870
1,0.141,-44.870
1,0.146,-44.870
1,0.151,-44.870
1,0.156,-44.870
1,0.160,-44.870
1,0.165,-44.870
1,0.170,-44.870
1,0.174,-44.870
1,0.179,-44.870
1,0.184,-44.870
1,0.189,-44.870
1,0.193,-44.870
1,0.198,-44.870
1,0.203,-44.870
1,0.207,-44.870
1,0.212,-44.870
1,0.217,-44.870
1,0.222,-44.870
1,0.226,-44.870
1,0.231,-44.870
1,0.236,-44.870
1,0.240,-44.870
1,0.245,-44.870
1,0.250,-44.870
1,0.255,-44.870
1,0.259,-44.870
1,0.264,-44.870
1,0.269,-44.870
1,0.273,-44.870
1,0.278,-44.870
1,0.283,-44.870
1,0.287,-44.870
1,0.292,-44.870
1,0.297,-44.870
1,0.302,-44.870
1,0.306,-44.870
1,0.311,-44.870
1,0.316,-44.870
1,0.320,-44.870
1,0.325,-44.870
1,0.330,-44.870
1,0.334,-44.870
1,0.339,-44.870
1,0.344,-44.870
1,0.348,-44.870
1,0.353,-44.870
1,0.358,-44.870
1,0.362,-44.870
1,0.367,-44.870
1,0.372,-44.870
1,0.376,-44.870
1,0.381,-44.870
1,0.386,-44.870
1,0.391,-44.870
1,0.395,-44.870
1,0.400,-44.870
1,0.405,-44.870
1,0.409,-44.870
1,0.414,-44.870
1,0.419,-44.870
1,0.423,-44.870
1,0.428,-44.870
1,0.433,-44.870
1,0.437,-44.870
1,0.442,-44.870
1,0.447,-44.870
1,0.451,-44.870
1,0.456,-44.870
1,0.461,-44.870
1,0.466,-44.870
1,0.470,-44.870
1,0.475,-44.870
1,0.480,-44.870
1,0.484,-44.870
1,0.489,-44.870
1,0.493,-44.870
1,0.498,-44.870
1,0.503,-44.870
1,0.507,-44.870
1,0.512,-44.870
1,0.517,-44.870
1,0.521,-44.870
1,0.526,-44.870
1,0.530,-44.870
1,0.535,-44.870
1,0.540,-44.870
1,0.544,-44.870
1,0.549,-44.870
1,0.553,-44.870
1,0.558,-44.870
1,0.563,-44.870
1,0.567,-44.870
1,0.572,-44.870
1,0.577,-44.870
1,0.581,-44.870
1,0.586,-44.870
1,0.590,-44.870
1,0.595,-44.870
1,0.600,-44.870
1,0.604,-44.870
1,0.609,-44.870
1,0.614,-44.870
1,0.618,-44.870
1,0.623,-44.870
1,0.627,-44.870
1,0.632,-44.870
1,0.637,-44.870
1,0.641,-44.870
1,0.646,-44.870
1,0.651,-44.870
1,0.655,-44.870
1,0.660,-44.870
1,0.665,-44.870
1,0.669,-44.870
1,0.674,-44.870
1,0.679,-44.870
1,0.684,-44.870
1,0.688,-44.870
1,0.693,-44.870
1,0.698,-44.870
1,0.702,-44.870
1,0.707,-44.870
1,0.712,-44.870
1,0.716,-44.870
1,0.721,-44.870
1,0.726,-44.870
1,0.730,-44.870
1,0.735,-44.870
1,0.740,-44.870
1,0.744,-44.870
1,0.749,-44.870
1,0.754,-44.870
1,0.759,-44.870
1,0.763,-44.870
1,0.768,-44.870
1,0.773,-44.870
1,0.777,-44.870
1,0.782,-44.870
1,0.787,-44.870
1,0.791,-44.870
1,0.796,-44.870
1,0.801,-44.870
1,0.805,-44.870
1,0.810,-44.870
1,0.815,-44.870
1,0.819,-44.870
1,0.824,-44.870
1,0.829,-44.870
1,0.834,-44.870
1,0.838,-44.870
1,0.843,-44.870
1,0.848,-44.870
1,0.852,-44.870
1,0.857,-44.870
1,0.861,-44.870
1,0.866,-44.870
1,0.871,-44.870
1,0.875,-44.870
1,0.880,-44.870
1,0.885,-44.870
1,0.889,-44.870
1,0.894,-44.870
1,0.898,-44.870
1,0.903,-44.870
1,0.908,-44.870
1,0.912,-44.870
1,0.917,-44.870
1,0.921,-44.870
1,0.926,-44.870
1,0.931,-44.870
1,0.935,-44.870
1,0.940,-44.870
1,0.945,-44.870
1,0.949,-44.870
1,0.954,-44.870
1,0.958,-44.870
1,0.963,-44.870
1,0.968,-44.870
1,0.972,-44.870
1,0.977,-44.870
1,0.982,-44.870
1,0.986,-44.870
1,0.991,-44.870
1,0.995,-44.870
2,0.000,-44.830
2,0.005,-44.830
2,0.009,-44.830
2,0.014,-44.830
2,0.019,-44.830
2,0.024,-44.830
2,0.028,-44.830
2,0.033,-44.830
2,0.038,-44.830
2,0.042,-44.830
2,0.047,-44.830
2,0.052,-44.830
2,0.057,-44.830
2,0.061,-44.830
2,0.066,-44.830
2,0.071,-44.830
2,0.075,-44.830
2,0.080,-44.830
2,0.085,-44.830
2,0.090,-44.830
2,0.094,-44.830
2,0.099,-44.830
2,0.104,-44.830
2,0.108,-44.830
2,0.113,-44.830
2,0.118,-44.830
2,0.123,-44.830
2,0.127,-44.830
2,0.132,-44.830
2,0.137,-44.830
2,0.141,-44.830
2,0.146,-44.830
2,0.151,-44.830
2,0.156,-44.830
2,0.160,-44.830
2,0.165,-44.830
2,0.170,-44.830
2,0.174,-44.830
2,0.179,-44.830
2,0.184,-44.830
2,0.189,-44.830
2,0.193,-44.830
2,0.198,-44.830
2,0.203,-44.830
2,0.207,-44.830
2,0.212,-44.830
2,0.217,-44.830
2,0.222,-44.830
2,0.226,-44.830
2,0.231,-44.830
2,0.236,-44.830
2,0.240,-44.830
2,0.245,-44.830
2,0.250,-44.840
2,0.255,-44.840
2,0.259,-44.840
2,0.264,-44.840
2,0.269,-44.840
2,0.273,-44.840
2,0.278,-44.840
2,0.283,-44.830
2,0.287,-44.830
2,0.292,-44.830
2,0.297,-44.830
2,0.302,-44.830
2,0.306,-44.830
2,0.311,-44.830
2,0.316,-44.840
2,0.320,-44.830
2,0.325,-44.830
2,0.330,-44.830
2,0.334,-44.830
2,0.339,-44.830
2,0.344,-44.830
2,0.348,-44.830
2,0.353,-44.830
2,0.358,-44.830
2,0.362,-44.830
2,0.367,-44.830
2,0.372,-44.830
2,0.376,-44.830
2,0.381,-44.830
2,0.386,-44.830
2,0.391,-44.830
2,0.395,-44.830
2,0.400,-44.830
2,0.405,-44.830
2,0.409,-44.830
2,0.414,-44.830
2,0.419,-44.830
2,0.423,-44.830
2,0.428,-44.830
2,0.433,-44.830
2,0.437,-44.840
2,0.442,-44.830
2,0.447,-44.830
2,0.451,-44.830
2,0.456,-44.830
2,0.461,-44.840
2,0.466,-44.840
2,0.470,-44.840
2,0.475,-44.840
2,0.480,-44.840
2,0.484,-44.840
2,0.489,-44.840
2,0.493,-44.840
2,0.498,-44.840
2,0.503,-44.830
2,0.507,-44.830
2,0.512,-44.830
2,0.517,-44.830
2,0.521,-44.830
2,0.526,-44.830
2,0.530,-44.830
2,0.535,-44.830
2,0.540,-44.830
2,0.544,-44.830
2,0.549,-44.830
2,0.553,-44.830
2,0.558,-44.830
2,0.563,-44.830
2,0.567,-44.830
2,0.572,-44.830
2,0.577,-44.830
2,0.581,-44.830
2,0.586,-44.830
2,0.590,-44.830
2,0.595,-44.830
2,0.600,-44.830
2,0.604,-44.830
2,0.609,-44.830
2,0.614,-44.830
2,0.618,-44.830
2,0.623,-44.830
2,0.627,-44.830
2,0.632,-44.830
2,0.637,-44.830
2,0.641,-44.830
2,0.646,-44.830
2,0.651,-44.830
2,0.655,-44.830
2,0.660,-44.830
2,0.665,-44.830
2,0.669,-44.830
2,0.674,-44.830
2,0.679,-44.830
2,0.684,-44.830
2,0.688,-44.830
2,0.693,-44.830
2,0.698,-44.830
2,0.702,-44.830
2,0.707,-44.830
2,0.712,-44.830
2,0.716,-44.830
2,0.721,-44.830
2,0.726,-44.830
2,0.730,-44.830
2,0.735,-44.840
2,0.740,-44.840
2,0.744,-44.830
2,0.749,-44.830
2,0.754,-44.830
2,0.759,-44.830
2,0.763,-44.830
2,0.768,-44.830
2,0.773,-44.830
2,0.777,-44.840
