k,e
0.000000000,-21.338154607
0.013805215,-21.337430679
0.027610431,-21.336142077
0.041415646,-21.337418746
0.055229974,-21.339002656
0.069035189,-21.338603058
0.082840405,-21.339298590
0.096645620,-21.339252260
0.110450836,-21.339923275
0.124256051,-21.340442311
0.138070379,-21.338891738
0.151875594,-21.338924096
0.165680809,-21.336899169
0.179486025,-21.336917347
0.193291240,-21.336903404
0.207096456,-21.336376034
0.220901671,-21.337128330
0.234715999,-21.336008573
0.248521214,-21.335989930
0.262326430,-21.335940108
0.276131645,-21.334387064
0.289936860,-21.334332541
0.303742076,-21.334419546
0.317547291,-21.334319391
0.331361619,-21.334191526
0.345166834,-21.334822132
0.358972050,-21.335599329
0.372777265,-21.336307194
0.386582481,-21.338388388
0.400387696,-21.337855846
0.414202024,-21.337361600
0.428007239,-21.334471490
0.441812455,-21.332255097
0.455617670,-21.332268577
0.469396930,-21.332255110
0.483176191,-21.335103508
0.496955451,-21.336293234
0.510727271,-21.337155457
0.524506532,-21.336075364
0.538285792,-21.334744870
0.552065052,-21.333270385
0.565844313,-21.334926011
0.579623573,-21.335512179
0.593402834,-21.335407573
0.607174654,-21.335235543
0.620953914,-21.335313420
0.634733175,-21.332915561
0.648512435,-21.334289886
0.662291695,-21.334761659
0.676070956,-21.335182989
0.689842776,-21.335203622
0.703622036,-21.332701704
0.717401297,-21.333923322
0.731180557,-21.333974768
0.744959818,-21.333898151
0.758739078,-21.333912802
0.772518338,-21.333960634
0.786290158,-21.336395394
0.800069419,-21.335739335
0.813848679,-21.335786267
0.827627940,-21.336179260
0.841474943,-21.335388582
0.855316686,-21.335331931
0.869163690,-21.335233993
0.883005433,-21.334861706
0.896852437,-21.334998616
0.910694179,-21.334911621
0.924541183,-21.334835628
0.938388187,-21.336727435
0.952229930,-21.336703877
0.966076934,-21.337697367
0.979918677,-21.337665935
0.993765680,-21.337228672
1.007612684,-21.336804037
1.021454427,-21.337553791
1.035301431,-21.336476855
1.049143174,-21.335588062
1.062990177,-21.336854765
1.076831920,-21.335983393
1.090678924,-21.335953086
1.104458184,-21.336576949
1.118237445,-21.336853547
1.132016705,-21.335659075
1.145788525,-21.335292259
1.159567786,-21.336131742
1.173347046,-21.335508906
1.187126307,-21.336418958
1.200905567,-21.336908543
1.214684827,-21.337611868
1.228464088,-21.336622173
1.242235908,-21.337331989
1.256015168,-21.337053803
1.269794429,-21.338482677
1.283573689,-21.338877075
1.297352949,-21.339573577
1.311132210,-21.339159246
1.324904030,-21.340029258
1.338683290,-21.339710754
1.352462551,-21.339745849
1.366241811,-21.339747560
1.380021072,-21.338886407
1.393800332,-21.338307669
1.407579592,-21.338404551
1.421351413,-21.337290803
1.435130673,-21.336022080
1.448909933,-21.337013135
1.462689194,-21.338154607
1.476536198,-21.337752023
1.490377940,-21.337722911
1.504224944,-21.336734732
1.518066687,-21.337487930
1.531913691,-21.338090289
1.545755434,-21.338954622
1.559602437,-21.338915590
1.573449441,-21.339442965
1.587291184,-21.338701870
