jband,k,e
20,0.00000,-16.25479
20,0.02680,-16.25487
20,0.05360,-16.25527
20,0.08040,-16.25554
20,0.10720,-16.25588
20,0.13401,-16.25614
20,0.16081,-16.25633
20,0.18761,-16.25676
20,0.21440,-16.25687
20,0.24120,-16.25703
20,0.26800,-16.25731
20,0.29481,-16.25747
20,0.32161,-16.25765
20,0.34841,-16.25810
20,0.37521,-16.25848
20,0.40201,-16.25851
20,0.42881,-16.25870
20,0.45562,-16.25888
20,0.48219,-16.25884
20,0.50876,-16.25870
20,0.53534,-16.25877
20,0.56191,-16.25850
20,0.58849,-16.25813
20,0.61505,-16.25803
20,0.64162,-16.25790
20,0.66820,-16.25763
20,0.69477,-16.25744
20,0.72134,-16.25703
20,0.74791,-16.25687
20,0.77449,-16.25699
20,0.80106,-16.25699
20,0.82763,-16.25707
20,0.85393,-16.25736
20,0.88024,-16.25790
20,0.90654,-16.25812
20,0.93285,-16.25790
20,0.95915,-16.25797
20,0.98546,-16.25842
20,1.01176,-16.25906
20,1.03807,-16.25930
20,1.06437,-16.25918
20,1.09068,-16.25900
20,1.11726,-16.25913
20,1.14382,-16.25912
20,1.17040,-16.25931
20,1.19697,-16.25906
20,1.22355,-16.25819
20,1.25012,-16.25750
20,1.27668,-16.25694
20,1.30326,-16.25685
20,1.32983,-16.25687
20,1.35641,-16.25709
20,1.38298,-16.25674
20,1.40955,-16.25591
20,1.43612,-16.25516
20,1.46269,-16.25479
20,1.48899,-16.25508
20,1.51530,-16.25552
20,1.54161,-16.25575
20,1.56791,-16.25594
20,1.59422,-16.25594
20,1.62052,-16.25635
20,1.64683,-16.25670
20,1.67313,-16.25689
20,1.69944,-16.25710
21,1.72574,-16.25707
21,0.00000,-16.25431
21,0.02680,-16.25435
21,0.05360,-16.25450
21,0.08040,-16.25450
21,0.10720,-16.25480
21,0.13401,-16.25506
21,0.16081,-16.25542
21,0.18761,-16.25591
21,0.21440,-16.25635
21,0.24120,-16.25691
21,0.26800,-16.25728
21,0.29481,-16.25716
21,0.32161,-16.25735
21,0.34841,-16.25741
21,0.37521,-16.25750
21,0.40201,-16.25842
21,0.42881,-16.25858
21,0.45562,-16.25852
21,0.48219,-16.25862
21,0.50876,-16.25864
21,0.53534,-16.25822
21,0.56191,-16.25806
21,0.58849,-16.25773
21,0.61505,-16.25720
21,0.64162,-16.25666
21,0.66820,-16.25652
21,0.69477,-16.25641
21,0.72134,-16.25650
21,0.74791,-16.25613
21,0.77449,-16.25529
21,0.80106,-16.25483
21,0.82763,-16.25455
21,0.85393,-16.25491
21,0.88024,-16.25564
21,0.90654,-16.25586
21,0.93285,-16.25567
21,0.95915,-16.25570
21,0.98546,-16.25629
21,1.01176,-16.25716
21,1.03807,-16.25744
21,1.06437,-16.25720
21,1.09068,-16.25703
21,1.11726,-16.25690
21,1.14382,-16.25648
21,1.17040,-16.25602
21,1.19697,-16.25583
21,1.22355,-16.25588
21,1.25012,-16.25582
21,1.27668,-16.25569
21,1.30326,-16.25539
21,1.32983,-16.25498
21,1.35641,-16.25449
21,1.38298,-16.25426
21,1.40955,-16.25440
21,1.43612,-16.25429
21,1.46269,-16.25431
21,1.48899,-16.25378
21,1.51530,-16.25299
21,1.54161,-16.25299
21,1.56791,-16.25398
21,1.59422,-16.25446
21,1.62052,-16.25395
21,1.64683,-16.25311
21,1.67313,-16.25309
22,1.69944,-16.25397
22,1.72574,-16.25455
22,0.00000,-13.20176
22,0.02680,-13.20041
22,0.05360,-13.20231
22,0.08040,-13.20251
22,0.10720,-13.20383
22,0.13401,-13.20424
22,0.16081,-13.20516
22,0.18761,-13.20639
22,0.21440,-13.20829
22,0.24120,-13.21110
22,0.26800,-13.21221
22,0.29481,-13.21285
22,0.32161,-13.21342
22,0.34841,-13.21561
22,0.37521,-13.21820
22,0.40201,-13.22010
22,0.42881,-13.21743
22,0.45562,-13.21576
22,0.48219,-13.21884
22,0.50876,-13.21979
22,0.53534,-13.21632
22,0.56191,-13.21425
22,0.58849,-13.21227
22,0.61505,-13.21109
22,0.64162,-13.20790
22,0.66820,-13.20749
22,0.69477,-13.20539
22,0.72134,-13.20229
22,0.74791,-13.20112
22,0.77449,-13.19977
22,0.80106,-13.20087
22,0.82763,-13.20115
22,0.85393,-13.20088
22,0.88024,-13.20166
22,0.90654,-13.20425
22,0.93285,-13.20610
22,0.95915,-13.20960
22,0.98546,-13.21221
22,1.01176,-13.21548
22,1.03807,-13.21912
22,1.06437,-13.22166
22,1.09068,-13.22065
22,1.11726,-13.22141
22,1.14382,-13.21694
22,1.17040,-13.21587
22,1.19697,-13.21492
22,1.22355,-13.21135
22,1.25012,-13.21015
22,1.27668,-13.21018
22,1.30326,-13.20873
22,1.32983,-13.20618
22,1.35641,-13.20500
22,1.38298,-13.20283
22,1.40955,-13.20204
22,1.43612,-13.19977
22,1.46269,-13.20176
22,1.48899,-13.20134
22,1.51530,-13.20073
22,1.54161,-13.20200
22,1.56791,-13.20346
22,1.59422,-13.20219
22,1.62052,-13.20064
22,1.64683,-13.20094
23,1.67313,-13.19943
23,1.69944,-13.20040
23,1.72574,-13.20115
23,0.00000,-10.17222
23,0.02680,-10.16816
23,0.05360,-10.15641
23,0.08040,-10.13741
23,0.10720,-10.11187
23,0.13401,-10.08032
23,0.16081,-10.04336
23,0.18761,-10.00178
23,0.21440,-9.95627
23,0.24120,-9.90774
23,0.26800,-9.85802
23,0.29481,-9.80960
23,0.32161,-9.76554
23,0.34841,-9.72867
23,0.37521,-9.70099
23,0.40201,-9.68311
23,0.42881,-9.67341
23,0.45562,-9.67073
23,0.48219,-9.67140
23,0.50876,-9.67486
23,0.53534,-9.68396
23,0.56191,-9.70109
23,0.58849,-9.72625
23,0.61505,-9.75782
23,0.64162,-9.79196
23,0.66820,-9.82554
23,0.69477,-9.85682
23,0.72134,-9.88487
23,0.74791,-9.90864
23,0.77449,-9.92708
23,0.80106,-9.93934
23,0.82763,-9.94370
23,0.85393,-9.93989
23,0.88024,-9.92968
23,0.90654,-9.91388
23,0.93285,-9.89282
23,0.95915,-9.86758
23,0.98546,-9.83923
23,1.01176,-9.81094
23,1.03807,-9.78603
23,1.06437,-9.76804
23,1.09068,-9.76137
23,1.11726,-9.77298
23,1.14382,-9.80133
23,1.17040,-9.83844
23,1.19697,-9.88023
23,1.22355,-9.92431
23,1.25012,-9.96863
23,1.27668,-10.01126
23,1.30326,-10.05045
23,1.32983,-10.08525
23,1.35641,-10.11500
23,1.38298,-10.13914
23,1.40955,-10.15714
23,1.43612,-10.16831
23,1.46269,-10.17222
23,1.48899,-10.16821
23,1.51530,-10.15687
23,1.54161,-10.13909
23,1.56791,-10.11532
23,1.59422,-10.08581
23,1.62052,-10.05151
24,1.64683,-10.01522
24,1.67313,-9.98068
24,1.69944,-9.95422
24,1.72574,-9.94370
24,0.00000,-9.41604
24,0.02680,-9.41818
24,0.05360,-9.42494
24,0.08040,-9.43641
24,0.10720,-9.45244
24,0.13401,-9.47234
24,0.16081,-9.49493
24,0.18761,-9.51909
24,0.21440,-9.54329
24,0.24120,-9.56630
24,0.26800,-9.58730
24,0.29481,-9.60618
24,0.32161,-9.62338
24,0.34841,-9.63861
24,0.37521,-9.65150
24,0.40201,-9.66144
24,0.42881,-9.66773
24,0.45562,-9.66967
24,0.48219,-9.66996
24,0.50876,-9.67045
24,0.53534,-9.67043
24,0.56191,-9.67039
24,0.58849,-9.67013
24,0.61505,-9.66951
24,0.64162,-9.66907
24,0.66820,-9.66900
24,0.69477,-9.66917
24,0.72134,-9.66901
24,0.74791,-9.66878
24,0.77449,-9.66847
24,0.80106,-9.66797
24,0.82763,-9.66780
24,0.85393,-9.66744
24,0.88024,-9.66627
24,0.90654,-9.66417
24,0.93285,-9.66130
24,0.95915,-9.65825
24,0.98546,-9.65545
24,1.01176,-9.65304
24,1.03807,-9.65097
24,1.06437,-9.64940
24,1.09068,-9.64883
24,1.11726,-9.64035
24,1.14382,-9.62117
24,1.17040,-9.59864
24,1.19697,-9.57539
24,1.22355,-9.55211
24,1.25012,-9.52910
24,1.27668,-9.50616
24,1.30326,-9.48370
24,1.32983,-9.46309
24,1.35641,-9.44569
24,1.38298,-9.43224
24,1.40955,-9.42296
24,1.43612,-9.41765
24,1.46269,-9.41604
24,1.48899,-9.41906
24,1.51530,-9.42940
