k,e
0.00000,-0.23013
0.45562,0.36628
0.82763,-0.45697
1.09068,-0.09764
1.46269,-0.23013
1.72574,-0.45697
0.00000,0.05840
0.45562,0.36628
0.82763,0.15840
1.09068,0.04060
1.46269,0.05840
1.72574,0.15840
0.00000,0.05840
0.45562,0.37742
0.82763,0.15840
1.09068,0.04060
1.46269,0.05840
1.72574,0.15840
0.00000,0.14033
0.45562,0.45253
0.82763,0.16208
1.09068,0.05610
1.46269,0.14033
1.72574,0.16208
0.00000,0.14033
0.45562,0.45253
0.82763,0.16208
1.09068,0.05610
1.46269,0.14033
1.72574,0.16208
0.00000,0.45023
0.45562,0.99709
0.82763,0.34142
1.09068,0.55265
1.46269,0.45023
1.72574,0.34142
0.00000,0.45023
0.45562,0.99709
0.82763,0.34142
1.09068,0.55265
1.46269,0.45023
1.72574,0.34142
0.00000,0.69742
0.45562,1.11791
0.82763,0.67139
1.09068,0.92051
1.46269,0.69742
1.72574,0.67139
0.00000,0.69742
0.45562,1.11791
0.82763,0.67139
1.09068,0.92051
1.46269,0.69742
1.72574,0.67139
0.00000,0.78904
0.45562,2.16743
0.82763,1.05285
1.09068,1.77375
1.46269,0.78904
1.72574,1.05285
0.00000,0.78904
0.45562,2.16743
0.82763,1.05285
1.09068,1.77375
1.46269,0.78904
1.72574,1.05285
0.00000,5.57590
0.45562,3.19587
0.82763,4.96707
1.09068,4.13319
1.46269,5.57590
1.72574,4.96707
0.00000,5.57590
0.45562,3.19587
0.82763,4.96707
1.09068,4.13319
1.46269,5.57590
1.72574,4.96707
0.00000,7.22708
0.45562,4.59536
0.82763,6.97825
1.09068,5.13661
1.46269,7.22708
1.72574,6.97825
0.00000,7.22708
0.45562,4.59536
0.82763,6.97825
1.09068,5.13661
1.46269,7.22708
1.72574,6.97825
0.00000,7.30412
0.45562,4.61965
0.82763,7.21008
1.09068,6.92125
1.46269,7.30412
1.72574,7.21008
0.00000,7.30412
0.45562,4.61965
0.82763,7.21008
1.09068,6.92125
1.46269,7.30412
1.72574,7.21008
0.00000,7.42483
0.45562,6.25328
0.82763,7.86520
1.09068,7.62150
1.46269,7.42483
1.72574,7.86520
0.00000,7.42483
0.45562,6.25328
0.82763,7.86520
1.09068,7.62150
1.46269,7.42483
1.72574,7.86520
0.00000,7.58660
0.45562,8.26097
0.82763,7.91773
1.09068,8.27930
1.46269,7.58660
1.72574,7.91773
0.00000,7.58660
0.45562,8.26097
0.82763,7.91773
1.09068,8.27930
1.46269,7.58660
1.72574,7.91773
0.00000,7.87928
0.45562,9.15330
0.82763,8.25864
1.09068,8.38903
1.46269,7.87928
1.72574,8.25864
0.00000,7.87928
0.45562,9.15330
0.82763,8.25864
1.09068,8.38903
1.46269,7.87928
1.72574,8.25864
0.00000,7.91034
0.45562,9.17619
0.82763,8.42738
1.09068,8.54104
1.46269,7.91034
1.72574,8.42738
0.00000,7.91034
0.45562,9.17619
0.82763,8.42738
1.09068,8.54104
1.46269,7.91034
1.72574,8.42738
0.00000,8.95274
0.45562,9.21374
0.82763,8.92212
1.09068,9.11750
1.46269,8.95274
1.72574,8.92212
0.00000,8.95274
0.45562,9.21374
0.82763,8.92212
1.09068,9.11750
1.46269,8.95274
1.72574,8.92212
0.00000,9.01877
0.45562,9.51511
0.82763,9.17899
1.09068,9.21248
1.46269,9.01877
1.72574,9.17899
0.00000,9.01877
0.45562,9.51511
0.82763,9.17899
1.09068,9.21248
1.46269,9.01877
1.72574,9.17899
0.00000,9.86662
0.45562,9.92580
0.82763,9.75185
1.09068,9.32481
1.46269,9.86662
1.72574,9.75185
0.00000,9.86662
0.45562,9.92580
0.82763,9.75185
1.09068,9.32481
1.46269,9.86662
1.72574,9.75185
0.00000,10.18352
0.45562,9.94461
0.82763,9.83405
1.09068,9.82524
1.46269,10.18352
1.72574,9.83405
0.00000,10.18352
0.45562,9.94461
0.82763,9.83405
1.09068,9.82524
1.46269,10.18352
1.72574,9.83405
0.00000,10.64192
0.45562,10.19911
0.82763,9.88469
1.09068,9.85918
1.46269,10.64192
1.72574,9.88469
0.00000,10.64192
0.45562,10.19911
0.82763,9.88469
1.09068,9.85918
1.46269,10.64192
1.72574,9.88469
0.00000,10.78835
0.45562,10.46395
0.82763,10.02624
1.09068,10.06680
1.46269,10.78835
1.72574,10.02624
0.00000,10.78835
0.45562,10.46395
0.82763,10.02624
1.09068,10.06680
1.46269,10.78835
1.72574,10.02624
0.00000,11.19141
0.45562,10.54620
0.82763,10.20664
1.09068,10.48736
1.46269,11.19141
1.72574,10.20664
0.00000,11.19141
0.45562,10.54620
0.82763,10.20664
1.09068,10.48736
1.46269,11.19141
1.72574,10.20664
0.00000,11.29753
0.45562,10.58393
0.82763,10.80283
1.09068,11.16509
1.46269,11.29753
1.72574,10.80283
0.00000,11.29753
0.45562,10.58393
0.82763,10.80283
1.09068,11.16509
1.46269,11.29753
1.72574,10.80283
0.00000,11.76360
0.45562,10.69857
0.82763,10.96371
1.09068,11.62143
1.46269,11.76360
1.72574,10.96371
0.00000,11.76360
0.45562,10.69857
0.82763,10.96371
1.09068,11.62143
1.46269,11.76360
1.72574,10.96371
0.00000,11.91323
0.45562,11.45322
0.82763,11.50106
1.09068,11.67717
1.46269,11.91323
1.72574,11.50106
0.00000,11.91323
0.45562,11.45322
0.82763,11.50106
1.09068,11.67717
1.46269,11.91323
1.72574,11.50106
0.00000,12.15368
0.45562,11.56888
0.82763,11.53634
1.09068,11.83175
1.46269,12.15368
1.72574,11.53634
0.00000,12.15368
0.45562,11.56888
0.82763,11.53634
1.09068,11.83175
1.46269,12.15368
1.72574,11.53634
0.00000,12.26475
0.45562,12.19008
0.82763,12.28375
1.09068,11.95995
1.46269,12.26475
1.72574,12.28375
0.00000,12.26475
0.45562,12.19008
0.82763,12.28375
1.09068,11.95995
1.46269,12.26475
1.72574,12.28375
0.00000,12.94792
0.45562,12.80025
0.82763,12.74331
1.09068,12.42786
1.46269,12.94792
1.72574,12.74331
0.00000,12.94792
0.45562,12.80025
0.82763,12.74331
1.09068,12.42786
1.46269,12.94792
1.72574,12.74331
