k,e
0.00000,-0.10185
0.22781,-0.12895
0.45562,0.52140
0.64162,-0.25963
0.82763,-0.34178
0.95915,-0.22042
1.09068,0.02747
1.27668,-0.14333
1.46269,-0.10185
1.59422,-0.17657
1.72574,-0.34178
0.00000,0.17928
0.22781,-0.02940
0.45562,0.52140
0.64162,0.05220
0.82763,0.27516
0.95915,0.05541
1.09068,0.16765
1.27668,0.07415
1.46269,0.17928
1.59422,0.21753
1.72574,0.27516
0.00000,0.17928
0.22781,-0.01566
0.45562,0.55813
0.64162,0.08863
0.82763,0.27516
0.95915,0.06718
1.09068,0.16765
1.27668,0.10319
1.46269,0.17928
1.59422,0.22033
1.72574,0.27516
0.00000,0.26281
0.22781,0.11507
0.45562,0.62591
0.64162,0.33294
0.82763,0.27659
0.95915,0.31464
1.09068,0.17149
1.27668,0.24914
1.46269,0.26281
1.59422,0.24692
1.72574,0.27659
0.00000,0.26281
0.22781,0.12050
0.45562,0.62591
0.64162,0.35977
0.82763,0.27659
0.95915,0.32518
1.09068,0.17149
1.27668,0.25795
1.46269,0.26281
1.59422,0.25823
1.72574,0.27659
0.00000,0.57735
0.22781,0.77238
0.45562,1.14437
0.64162,0.83082
0.82763,0.46561
0.95915,0.64264
1.09068,0.72636
1.27668,0.55307
1.46269,0.57735
1.59422,0.47876
1.72574,0.46561
0.00000,0.57735
0.22781,0.77253
0.45562,1.14437
0.64162,0.84441
0.82763,0.46561
0.95915,0.65139
1.09068,0.72636
1.27668,0.57721
1.46269,0.57735
1.59422,0.48512
1.72574,0.46561
0.00000,0.83791
0.22781,0.82241
0.45562,1.26338
0.64162,0.94554
0.82763,0.80714
0.95915,0.85374
1.09068,1.07387
1.27668,0.80550
1.46269,0.83791
1.59422,0.78212
1.72574,0.80714
0.00000,0.83791
0.22781,0.84932
0.45562,1.26338
0.64162,0.95548
0.82763,0.80714
0.95915,0.85908
1.09068,1.07387
1.27668,0.81555
1.46269,0.83791
1.59422,0.82138
1.72574,0.80714
0.00000,0.92814
0.22781,0.99783
0.45562,2.62665
0.64162,1.44559
0.82763,1.27070
0.95915,1.37986
1.09068,1.97547
1.27668,0.91476
1.46269,0.92814
1.59422,0.88187
1.72574,1.27070
0.00000,0.92814
0.22781,0.99922
0.45562,2.62665
0.64162,1.45052
0.82763,1.27070
0.95915,1.38124
