k,e
0.00000,-22.60923
0.02680,-22.60970
0.05360,-22.61087
0.08040,-22.61198
0.10720,-22.61263
0.13401,-22.61253
0.16081,-22.61180
0.18761,-22.61087
0.21440,-22.61025
0.24120,-22.61052
0.26800,-22.61160
0.29481,-22.61289
0.32161,-22.61387
0.34841,-22.61421
0.37521,-22.61375
0.40201,-22.61280
0.42881,-22.61163
0.45562,-22.61114
0.48219,-22.61189
0.50876,-22.61362
0.53534,-22.61462
0.56191,-22.61454
0.58849,-22.61317
0.61505,-22.61121
0.64162,-22.61063
0.66820,-22.61080
0.69477,-22.61219
0.72134,-22.61312
0.74791,-22.61296
0.77449,-22.61167
0.80106,-22.61047
0.82763,-22.61020
0.85393,-22.61099
0.88024,-22.61214
0.90654,-22.61227
0.93285,-22.61127
0.95915,-22.61072
0.98546,-22.61169
1.01176,-22.61300
1.03807,-22.61312
1.06437,-22.61210
1.09068,-22.61124
1.11726,-22.61209
1.14382,-22.61366
1.17040,-22.61480
1.19697,-22.61472
1.22355,-22.61323
1.25012,-22.61129
1.27668,-22.61020
1.30326,-22.61080
1.32983,-22.61226
1.35641,-22.61330
1.38298,-22.61318
1.40955,-22.61193
1.43612,-22.61006
1.46269,-22.60923
1.48899,-22.60991
1.51530,-22.61107
1.54161,-22.61117
1.56791,-22.61039
1.59422,-22.60977
1.62052,-22.61059
1.64683,-22.61169
1.67313,-22.61172
1.69944,-22.61085
1.72574,-22.61020
0.00000,-22.60909
0.02680,-22.60957
0.05360,-22.61075
0.08040,-22.61184
0.10720,-22.61245
0.13401,-22.61238
0.16081,-22.61169
0.18761,-22.61073
0.21440,-22.61011
0.24120,-22.61042
0.26800,-22.61147
0.29481,-22.61275
0.32161,-22.61375
0.34841,-22.61405
0.37521,-22.61358
0.40201,-22.61266
0.42881,-22.61153
0.45562,-22.61098
0.48219,-22.61153
0.50876,-22.61215
0.53534,-22.61251
0.56191,-22.61242
0.58849,-22.61185
0.61505,-22.61113
0.64162,-22.61007
0.66820,-22.61071
0.69477,-22.61131
0.72134,-22.61160
0.74791,-22.61149
0.77449,-22.61103
0.80106,-22.61000
0.82763,-22.60917
0.85393,-22.60997
0.88024,-22.61112
0.90654,-22.61117
0.93285,-22.61022
0.95915,-22.60958
0.98546,-22.61058
1.01176,-22.61193
1.03807,-22.61199
1.06437,-22.61086
1.09068,-22.60998
1.11726,-22.61032
1.14382,-22.61088
1.17040,-22.61134
1.19697,-22.61130
1.22355,-22.61076
1.25012,-22.61002
1.27668,-22.60963
1.30326,-22.60983
1.32983,-22.61033
1.35641,-22.61069
1.38298,-22.61054
1.40955,-22.61012
1.43612,-22.60939
1.46269,-22.60909
1.48899,-22.60880
1.51530,-22.60840
1.54161,-22.60838
1.56791,-22.60892
1.59422,-22.60914
1.62052,-22.60884
1.64683,-22.60844
1.67313,-22.60841
1.69944,-22.60883
1.72574,-22.60917
0.00000,-19.75218
0.02680,-19.75095
0.05360,-19.75502
0.08040,-19.75550
0.10720,-19.75824
0.13401,-19.75841
0.16081,-19.75899
0.18761,-19.76033
0.21440,-19.76158
0.24120,-19.76488
0.26800,-19.76564
0.29481,-19.76466
0.32161,-19.76457
0.34841,-19.76639
0.37521,-19.76785
0.40201,-19.77003
0.42881,-19.76461
0.45562,-19.76158
0.48219,-19.76665
0.50876,-19.76923
0.53534,-19.76493
0.56191,-19.76312
0.58849,-19.76085
0.61505,-19.75963
0.64162,-19.75540
0.66820,-19.75561
0.69477,-19.75355
0.72134,-19.74884
0.74791,-19.74714
0.77449,-19.74470
0.80106,-19.74584
0.82763,-19.74600
0.85393,-19.74571
0.88024,-19.74724
0.90654,-19.75171
0.93285,-19.75526
0.95915,-19.76127
0.98546,-19.76601
1.01176,-19.77206
1.03807,-19.77826
1.06437,-19.78244
1.09068,-19.78081
1.11726,-19.78249
1.14382,-19.77683
1.17040,-19.77595
1.19697,-19.77548
1.22355,-19.77046
1.25012,-19.76875
