k,e
0.00000,0.20476
0.22781,0.14767
0.45562,0.68908
0.64162,0.12908
0.82763,0.00698
0.95915,0.12363
1.09068,0.36756
1.27668,0.16167
1.46269,0.20476
1.59422,0.15247
1.72574,0.00698
0.00000,0.54251
0.22781,0.34062
0.45562,0.75253
0.64162,0.44262
0.82763,0.64807
0.95915,0.43767
1.09068,0.51766
1.27668,0.43812
1.46269,0.54251
1.59422,0.56381
1.72574,0.64807
0.00000,0.54251
0.22781,0.34614
0.45562,0.75253
0.64162,0.47444
0.82763,0.64807
0.95915,0.44800
1.09068,0.51766
1.27668,0.46692
1.46269,0.54251
1.59422,0.56417
1.72574,0.64807
0.00000,0.64298
0.22781,0.50210
0.45562,0.78465
0.64162,0.60955
0.82763,0.69126
0.95915,0.70031
1.09068,0.56159
1.27668,0.62814
1.46269,0.64298
1.59422,0.62660
1.72574,0.69126
0.00000,0.64298
0.22781,0.52023
0.45562,0.78465
0.64162,0.63712
0.82763,0.69126
0.95915,0.71080
1.09068,0.56159
1.27668,0.63559
1.46269,0.64298
1.59422,0.63512
1.72574,0.69126
0.00000,0.95591
0.22781,0.99506
0.45562,1.42820
0.64162,1.14871
0.82763,0.82828
0.95915,0.93179
1.09068,0.93329
1.27668,0.89566
1.46269,0.95591
1.59422,0.85888
1.72574,0.82828
0.00000,0.95591
0.22781,1.01116
0.45562,1.42820
0.64162,1.16340
0.82763,0.82828
0.95915,0.94209
1.09068,0.93329
1.27668,0.92552
1.46269,0.95591
1.59422,0.86782
1.72574,0.82828
0.00000,1.11838
0.22781,1.14509
0.45562,1.56975
0.64162,1.25847
0.82763,1.15221
0.95915,1.18447
1.09068,1.35856
1.27668,1.06460
1.46269,1.11838
1.59422,1.05997
1.72574,1.15221
0.00000,1.11838
0.22781,1.16506
0.45562,1.56975
0.64162,1.27810
0.82763,1.15221
0.95915,1.19015
1.09068,1.35856
1.27668,1.08859
1.46269,1.11838
1.59422,1.10643
1.72574,1.15221
0.00000,1.25736
0.22781,1.30823
0.45562,2.26857
0.64162,1.44693
0.82763,1.27222
0.95915,1.41021
1.09068,1.89780
1.27668,1.23551
1.46269,1.25736
1.59422,1.20766
1.72574,1.27222
0.00000,1.25736
0.22781,1.31193
0.45562,2.26857
0.64162,1.45217
0.82763,1.27222
0.95915,1.41274
1.09068,1.89780
1.27668,1.26200
1.46269,1.25736
1.59422,1.21063
1.72574,1.27222
0.00000,5.02053
0.22781,4.95602
0.45562,2.61343
0.64162,3.79385
0.82763,4.21643
0.95915,4.00458
1.09068,3.43212
1.27668,5.27939
1.46269,5.02053
1.59422,5.41649
1.72574,4.21643
0.00000,5.02053
0.22781,4.96285
0.45562,2.61343
0.64162,3.79497
0.82763,4.21643
0.95915,4.00484
1.09068,3.43212
1.27668,5.29789
1.46269,5.02053
1.59422,5.45692
1.72574,4.21643
0.00000,6.65598
0.22781,5.67265
0.45562,3.97063
0.64162,5.39573
0.82763,6.07276
0.95915,5.77389
1.09068,4.46326
1.27668,5.60241
1.46269,6.65598
1.59422,5.71962
1.72574,6.07276
0.00000,6.65598
0.22781,5.72608
0.45562,3.97063
0.64162,5.41166
0.82763,6.07276
0.95915,5.79108
1.09068,4.46326
1.27668,5.65296
1.46269,6.65598
1.59422,5.72470
1.72574,6.07276
0.00000,6.72785
0.22781,5.99108
0.45562,3.99746
0.64162,5.76010
0.82763,6.71799
0.95915,6.03033
1.09068,5.97332
1.27668,6.23157
1.46269,6.72785
1.59422,6.87830
1.72574,6.71799
0.00000,6.72785
0.22781,5.99733
0.45562,3.99746
0.64162,5.79765
0.82763,6.71799
0.95915,6.04821
1.09068,5.97332
1.27668,6.25717
1.46269,6.72785
1.59422,6.90593
1.72574,6.71799
0.00000,6.78877
0.22781,6.05947
0.45562,5.52579
0.64162,5.86455
0.82763,7.08365
0.95915,6.94324
1.09068,6.87596
1.27668,6.90072
1.46269,6.78877
1.59422,6.99244
1.72574,7.08365
0.00000,6.78877
0.22781,6.08815
0.45562,5.52579
0.64162,5.90619
0.82763,7.08365
0.95915,6.95679
1.09068,6.87596
1.27668,6.94810
1.46269,6.78877
1.59422,7.01239
1.72574,7.08365
0.00000,7.25006
0.22781,7.07694
0.45562,7.55256
0.64162,7.24778
0.82763,7.30264
0.95915,7.20971
1.09068,7.33092
1.27668,7.05400
1.46269,7.25006
1.59422,7.28487
1.72574,7.30264
0.00000,7.25006
0.22781,7.08737
0.45562,7.55256
0.64162,7.28855
0.82763,7.30264
0.95915,7.21888
1.09068,7.33092
1.27668,7.08837
1.46269,7.25006
1.59422,7.31135
1.72574,7.30264
0.00000,7.41171
0.22781,7.42663
0.45562,7.72803
0.64162,7.54025
0.82763,7.56577
0.95915,7.49072
1.09068,7.54053
1.27668,7.34798
1.46269,7.41171
1.59422,7.41986
1.72574,7.56577
0.00000,7.41171
0.22781,7.44331
0.45562,7.72803
0.64162,7.59675
0.82763,7.56577
0.95915,7.52126
1.09068,7.54053
1.27668,7.35984
1.46269,7.41171
1.59422,7.44026
1.72574,7.56577
0.00000,7.43920
0.22781,7.62293
0.45562,8.18765
0.64162,7.92042
0.82763,7.67808
0.95915,7.69426
1.09068,7.80124
1.27668,7.44135
1.46269,7.43920
1.59422,7.60942
1.72574,7.67808
0.00000,7.43920
0.22781,7.63620
0.45562,8.18765
0.64162,7.98561
0.82763,7.67808
0.95915,7.71113
1.09068,7.80124
1.27668,7.46334
1.46269,7.43920
1.59422,7.62483
1.72574,7.67808
0.00000,8.17572
0.22781,7.99721
0.45562,8.50494
0.64162,8.15008
0.82763,8.17170
0.95915,8.08555
1.09068,8.48494
1.27668,7.82914
1.46269,8.17572
1.59422,7.68854
1.72574,8.17170
0.00000,8.17572
0.22781,8.04040
0.45562,8.50494
0.64162,8.16994
0.82763,8.17170
0.95915,8.09261
1.09068,8.48494
1.27668,7.83981
1.46269,8.17572
1.59422,7.72231
1.72574,8.17170
0.00000,8.19326
0.22781,8.13813
0.45562,8.97591
0.64162,8.44652
0.82763,8.49754
0.95915,8.23734
1.09068,8.57890
1.27668,8.14450
1.46269,8.19326
1.59422,8.00429
1.72574,8.49754
0.00000,8.19326
0.22781,8.19200
0.45562,8.97591
0.64162,8.49094
0.82763,8.49754
0.95915,8.24731
1.09068,8.57890
1.27668,8.17470
1.46269,8.19326
1.59422,8.02410
1.72574,8.49754
0.00000,8.23355
0.22781,8.61574
0.45562,9.42784
0.64162,8.90386
