jband,k,eGW,eKS
20,0.000,-16.615,-18.598
20,0.027,-16.615,-18.599
20,0.054,-16.615,-18.599
20,0.080,-16.615,-18.599
20,0.107,-16.615,-18.599
20,0.134,-16.615,-18.600
20,0.161,-16.615,-18.600
20,0.188,-16.615,-18.600
20,0.214,-16.615,-18.601
20,0.241,-16.615,-18.601
20,0.268,-16.615,-18.601
20,0.295,-16.615,-18.601
20,0.322,-16.615,-18.601
20,0.348,-16.616,-18.602
20,0.375,-16.616,-18.602
20,0.402,-16.616,-18.602
20,0.429,-16.616,-18.602
20,0.456,-16.616,-18.602
20,0.482,-16.616,-18.602
20,0.509,-16.616,-18.602
20,0.535,-16.616,-18.602
20,0.562,-16.616,-18.602
20,0.588,-16.616,-18.602
20,0.615,-16.616,-18.602
20,0.642,-16.615,-18.602
20,0.668,-16.615,-18.601
20,0.695,-16.615,-18.601
20,0.721,-16.615,-18.601
20,0.748,-16.615,-18.600
20,0.774,-16.615,-18.601
20,0.801,-16.615,-18.601
20,0.828,-16.615,-18.601
20,0.854,-16.615,-18.601
20,0.880,-16.615,-18.602
20,0.907,-16.615,-18.602
20,0.933,-16.615,-18.602
20,0.959,-16.615,-18.602
20,0.985,-16.616,-18.602
20,1.012,-16.616,-18.603
20,1.038,-16.616,-18.603
20,1.064,-16.616,-18.603
20,1.091,-16.616,-18.603
20,1.117,-16.616,-18.603
20,1.144,-16.616,-18.603
20,1.170,-16.616,-18.603
20,1.197,-16.616,-18.603
20,1.224,-16.615,-18.602
20,1.250,-16.615,-18.601
20,1.277,-16.615,-18.601
20,1.303,-16.615,-18.601
20,1.330,-16.615,-18.601
20,1.356,-16.615,-18.601
20,1.383,-16.615,-18.600
20,1.410,-16.615,-18.600
20,1.436,-16.615,-18.599
20,1.463,-16.615,-18.598
20,1.489,-16.615,-18.599
20,1.515,-16.615,-18.599
20,1.542,-16.615,-18.599
20,1.568,-16.615,-18.600
20,1.594,-16.615,-18.600
20,1.621,-16.615,-18.600
20,1.647,-16.615,-18.600
20,1.673,-16.615,-18.601
20,1.699,-16.615,-18.601
21,0.000,-16.615,-18.598
21,0.027,-16.615,-18.598
21,0.054,-16.615,-18.598
21,0.080,-16.615,-18.598
21,0.107,-16.615,-18.598
21,0.134,-16.615,-18.599
21,0.161,-16.615,-18.599
21,0.188,-16.615,-18.600
21,0.214,-16.615,-18.600
21,0.241,-16.615,-18.601
21,0.268,-16.615,-18.601
21,0.295,-16.615,-18.601
21,0.322,-16.615,-18.601
21,0.348,-16.616,-18.601
21,0.375,-16.616,-18.601
21,0.402,-16.616,-18.602
21,0.429,-16.616,-18.602
21,0.456,-16.616,-18.602
21,0.482,-16.616,-18.602
21,0.509,-16.616,-18.602
21,0.535,-16.615,-18.602
21,0.562,-16.615,-18.602
21,0.588,-16.615,-18.601
21,0.615,-16.615,-18.601
21,0.642,-16.615,-18.600
21,0.668,-16.615,-18.600
