symbol,date,efficency
Si,1975-Jan,0
Si,1977-Mar,13.801
Si,1978-Feb,14.931
Si,1980-Jan,15.956
Si,1982-Apr,16.519
Si,1983-May,18.196
Si,1983-Oct,18.710
Si,1984-Jan,19.106
Si,1985-Apr,19.767
Si,1985-Oct,20.047
Si,1985-Nov,20.097
Si,1986-Feb,20.406
Si,1986-Jun,20.617
Si,1986-Oct,20.682
Si,1987-Jun,20.869
Si,1990-Feb,21.239
Si,1993-May,21.702
Si,1994-Mar,23.574
Si,1994-Oct,24.003
Si,1998-Mar,24.463
Si,1999-Jan,24.523
Si,1999-Mar,24.752
Si,2014-Apr,25.012
Si,2016-Jul,25.360
Si,2016-Nov,25.360
CdTe,1975-Jan,0
CdTe,1976-Jan,8.710
CdTe,1979-Nov,8.867
CdTe,1980-Apr,9.239
CdTe,1981-Jul,10.534
CdTe,1983-May,11.026
CdTe,1984-Jan,11.223
CdTe,1988-Nov,11.340
CdTe,1989-May,12.324
CdTe,1991-Mar,12.683
CdTe,1991-Jun,13.478
CdTe,1992-Jan,14.596
CdTe,1992-Jun,15.696
CdTe,1997-Mar,16.032
CdTe,2001-Feb,16.394
CdTe,2001-Nov,16.699
CdTe,2011-Sep,17.328
CdTe,2013-Jan,18.217
CdTe,2013-Feb,18.725
CdTe,2013-Aug,19.070
CdTe,2013-Sep,19.592
CdTe,2014-Mar,20.416
CdTe,2014-Oct,21.014
CdTe,2015-Jan,21.487
CdTe,2016-Jan,22.141
CdTe,2016-Nov,22.141
GaAs,1975-Jan,0
GaAs,1977-Jan,21.846
GaAs,1989-Mar,24.469
GaAs,1989-Oct,25.116
GaAs,1990-Mar,25.216
GaAs,2008-Feb,26.622
GaAs,2010-Apr,27.188
GaAs,2015-May,28.004
GaAs,2016-Nov,28.004
MAPI,1975-Jan,0
MAPI,2009-Apr,3.805
MAPI,2010-Nov,6.510
MAPI,2012-Oct,10.894
MAPI,2013-Jun,15.455
MAPI,2014-Jun,16.199
MAPI,2015-Feb,18.055
MAPI,2015-Apr,18.847
MAPI,2015-May,20.174
MAPI,2016-Feb,21.180
MAPI,2016-Mar,21.878
MAPI,2016-Nov,22.200
Junc2,1975-Jan,0
Junc2,1989-Mar,27.629
Junc2,1993-Jun,29.435
Junc2,1996-MAy,30.360
# Junc2,2013-Feb,30.805
Junc2,2013-Jun,31.097
Junc2,2016-Mar,32.524
Junc2,2016-Nov,32.600
Junc3,1975-Jan,0
Junc3,2003-Feb,31.983
Junc3,2007-Feb,33.857
Junc3,2009-Nov,35.896
# Junc3,2012-Jan,36.842
Junc3,2012-Mar,37.528
# Junc3,2013-Feb,37.720
Junc3,2013-Apr,37.972
Junc3,2016-Nov,37.980
Junc4,1975-Jan,0
Junc4,2013-Jun,43.563
Junc4,2014-May,44.669
# Junc4,2015-Feb,45.639
Junc4,2015-Mar,46.046
Junc4,2016-Nov,46.100
QDot,1975-Jan,0
QDot,2010-Mar,2.996
QDot,2011-Apr,4.457
QDot,2011-Nov,5.170
QDot,2012-Apr,7.029
QDot,2014-Jan,8.521
QDot,2015-Feb,9.295
QDot,2015-Apr,9.895
QDot,2016-Jan,10.686
QDot,2016-May,11.352
QDot,2016-Dec,13.432
QDot,2016-Nov,13.500
thinFilm,1975-Jan,0
thinFilm,2001-Jun,15.255
thinFilm,2008-Mar,16.944
thinFilm,2011-Mar,19.138
thinFilm,2011-Apr,19.182
thinFilm,2012-Nov,19.586
thinFilm,2012-Dec,19.851
thinFilm,2013-Jan,20.159
thinFilm,2014-May,21.338
thinFilm,2016-Nov,21.338
tinBased,1975-Jan,0
tinBased,2014-Feb,5.732
tinBased,2014-Mar,6.421
tinBased,2016-Nov,6.421
Bi_Based,1975-Jan,0
Bi_Based,2013-May,0.773
Bi_Based,2015-Jun,1.074
Bi_Based,2016-Apr,6.308
Bi_Based,2016-Nov,6.308
Sb_Based,1975-Jan,0
Sb_Based,2009-Jun,3.377
Sb_Based,2010-Feb,5.244
Sb_Based,2012-Feb,6.311
Sb_Based,2014-Mar,7.503
Sb_Based,2016-Nov,7.503
